user_name,location,friends,followers,created_date,text_raw
Jfeliciano_94,"Surprise, AZ",709,483,2020-12-13T23:07:12,@Joerb31 Idek if he can be successful somewhere else at this point. If so it’ll be years down the line. Trade stock forever plummeting
jburcham81,United States,135,74,2020-12-13T23:07:12,"@Mookiegarza @SnickerNik @Conniecaliforn ... trillions of dollars, while China lost nothing fiscally. And the stock… https://t.co/1mM0oaoQ60"
CinnamonGurl73,None,4966,3710,2020-12-13T23:07:12,"RT @TimeToSayGood15: @KLoeffler ""Kelly Loeffler Dumped Millions in Stock After Coronavirus Briefing"" She received an early warning about th…"
crystallcleear,somewhere ,715,756,2020-12-13T23:07:12,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
deecheelobra,None,2122,961,2020-12-13T23:07:14,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
Big_Headers,"England, United Kingdom",15008,15823,2020-12-13T23:07:14,"How to start people panic buying?

Tell them not to stock up!"
manda_kalyan,None,56,9,2020-12-13T23:07:15,THIS 👇👇👇👇 Shame on #WSJ
MorganFrawley,"Sydney, Australia",4996,4006,2020-12-13T23:07:16,"RT @ReneeAlida: The Wall Street Journal referred to DR. Jill Biden as ""kiddo""??

Would you refer to ANY man by that name? Even the most med…"
PatrickBaitman3,None,879,388,2020-12-13T23:07:16,@EzIntenso @HogarthHughes8 @ddandnp @NIOGlobal @RobinhoodApp @WebullGlobal @cnTechPost @WSJ @CNNBusiness… https://t.co/q5IMc91Mhf
JaymartSa,"Johannesburg, South Africa",91,43,2020-12-13T23:07:17,Brand new decoders without installation for R300 only. So call now and take advantage of this super price while sto… https://t.co/1iEm3mL6Eo
themightyvans,None,112,103,2020-12-13T23:07:17,RT @payhermind: reminder that stock ownership is fucked up. you’re literally securing an entitlement to the fruits of someone else’s labor…
HipHopGeek86,"The Watchtower, Earth Orbit",3396,1425,2020-12-13T23:07:18,RT @sonicpulsar: Seems like Nintendo managed to ensure good amounts of stock allocated for December. This is Japan’s biggest electronics st…
William22134597,None,117,57,2020-12-13T23:07:19,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
AkhavanKayvan,"Mission Viejo, CA",31,182,2020-12-13T23:07:19,"RT @ananavarro: I know who Dr. Jill Biden is.
Who the hell is this Joseph Epstein, guy? Any relation to Jeffrey?"
K_Weber95032,None,206,6,2020-12-13T23:07:20,@sendavidperdue has been getting rich by making stock trades based on insider information
TaylorKaercher,"Michigan, USA",139,34,2020-12-13T23:07:23,"@WorldAndScience Power is nothing without People, 
Leadership is nothing without Responsibility, 
&amp; Tomorrow is not… https://t.co/dWvT3r50zW"
Lichking78,None,1321,1073,2020-12-13T23:07:23,"@RippsXRP Its funny how they choose what somebody tells them over facts. No wonder scammers are so successful.
Oppo… https://t.co/eL2hunHgXn"
26juliaroman,None,1210,1128,2020-12-13T23:07:24,$LXRP 💫check this out💫Lexaria Bioscience Corp. Discusses Demonstration of Improved Oral Delivery for Antiviral Drug… https://t.co/Ma9HkbfWqt
waddell___,"Camberley, South East",370,64,2020-12-13T23:07:24,@NathanKAMarsh @PS5StockUK1 Are they coming in stock at random times?
timewarden1,None,25808,26592,2020-12-13T23:07:25,RT @ryangrim: New ad in Georgia hits @SenatorLoeffler &amp; @sendavidperdue for using inside info to profit from the pandemic -- and goes after…
zimba313_,toronto ,351,647,2020-12-13T23:07:26,"RT @inquirerdotnet: The UN urged leaders to declare a global climate emergency and shape greener growth after the coronavirus pandemic, as…"
BlazeInvesting,None,7,19,2020-12-13T23:07:27,"RT @Investingcom: ⚠️BREAKING:

*SUNDAY NIGHT FUTURES OPEN HIGHER AS WALL STREET BRACES FOR ANOTHER EVENTFUL WEEK

$DIA $SPY $QQQ $IWM $VIX…"
WintertheShark,Flashing her Shark tiddies.,294,294,2020-12-13T23:07:27,"RT @Thiccbully: Retweet if Susie can invade your dm and make you her cum dumpster, getting fucked every day till you're covered in cum and…"
SpectreJournal,"Minneapolis, MN",4264,2133,2020-12-13T23:07:28,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
ArcOrbit,None,1299,262,2020-12-13T23:07:28,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
MenAnothrPlanet,Somewhere special,290,290,2020-12-13T23:07:29,"Scott Kelly #DNA ALL Jacked UP &amp; 2"" taller than his Twin Senator Mark Kelly when he came back from 1yr?! space stat… https://t.co/WJedu4cKUM"
BenRodriguez413,"Suffield, Connecticut",2345,504,2020-12-13T23:07:30,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
egapnala65,None,715,737,2020-12-13T23:07:30,RT @CllrBattley: I can't take any more. If I've told the Signage Dept. once not to hire Sid Woodall &amp; Sons I've told them a thousand times.…
buchman_matt,"Hazleton, PA",42,30,2020-12-13T23:07:30,"RT @PAPrepsRivals: Class of 2023 Running Back Stock Risers 
https://t.co/nWKevKBBWV 

@buchman_matt
@ezeekai
@GraydenLewis"
C010Car,Uk,11,0,2020-12-13T23:07:30,"@realDonaldTrump I would like to say that I feel very sorry for ALL Americans
Trump is making your country a laughi… https://t.co/3cXBYUtyGr"
emkatepsu,None,359,120,2020-12-13T23:07:30,"RT @CatharsisDaily: @KLoeffler And the Lord said, ""protect thine stock market portfolio with all thine heart &amp; I shall make you a fisher of…"
DarRider,None,3063,2677,2020-12-13T23:07:31,"RT @BL4USA: More Silicon Valley Insiders Added to Biden Transition Team 🤔🤔🤔

I thought Democrats were anti-big business, anti-Wall Street..…"
